RCP_NM,rcp_parts_dtls_cleaned
버섯만두찜,"밀가루 시금치가루 호박가루 
백년초가루 물 식용유 금 
양파 양송이버섯 새송이버섯 
표고버섯 두부 금 새우 마늘 
우유 크림"
떡갈비주먹밥,"다진 고기 다진돼지고기 찹쌀가루 밥 
 파 후춧가루 맛술 저염간장 
생크림 식용유 새송이버섯 시금치 
당근 양파 마늘 떡볶이떡 
저염간장 올리고당"
홍합죽,"쌀 참기름 홍합 양파 당근 
표고버섯 건새우 
 건새우 다시마"
샐러드돈가스,"돼지등심 정종 금 후춧가루 
우유 밀가루 달걀 빵가루 
튀김기름 
 스 삶은 달걀 피클 마요네즈 
 곁들임채 방울토마토 양상추 
어린잎채 파슬리가루"
조개크림파스타,"스파게티 올리브오일 금 양송이 
새우 파슬리가루 버터 양파 마늘 
밀가루 우유 크림 
 조 물"
닭날개튀김,"닭봉 오렌지 레몬 강즙 
카레가루 튀김기름 
 스 양파 땅콩 마요네즈 
파스리가루 요거트 
 곁들임채 어린잎"
해산물리조또,"보리쌀 당근 양파 마늘 파 
버터 오징어 새우 시금치 금 
생크림 우유 치즈 파슬리가루 
 조 다시마"
떡완자조림,"다진 쇠고기 다진 돼지고기 매실액 맛술 
양파 당근 새송이버섯 마늘 파 
떡볶이떡 식용유 저염간장 올리고당 
참기름 후춧가루 통깨"
닭고기채소스파게티,"닭고기살 후춧가루 스파게티 올리브유 
브로컬리 양송이 표고버섯 파프리카 
당근 양파 다진마늘 토마토 
토마토페스트 토마토 스 케첩 
생크림"
계만두,"
녹말가루 닭가슴살 마늘 파 삶은 메추리알 
 후춧가루 
빠금장 스 빠금장 휘핑크림 우유 
다진 청양고추 후춧가루 참깨"
삼계선,"
블루베리 스 블루베리잼 화이트와인 설탕"
쇠고기표고찜,"
 추 단호박 피클 
 다진 쇠고기 다진 파 다진 마늘 
다진 양파 다진 파프리카 으깬 두부 
오렌지 스 오렌지주스 유자청"
떡갈비찜,"
가래떡 유자청 간장 연근 
고기 다진 파 다진 마늘 다진 양파 
 금 후춧가루 참기름"
해산물두부샌드,"
완두콩 삶은 완두콩 두유 꿀 검은깨"
단호박제육볶음,"
양파 파 마른 표고버섯 
 고춧가루 
된장 된장 물 
 참기름"
버섯콩불고기,"
느타리버섯 표고버섯 새송이버섯 
부추 미나리 청양고추 
 배 
다진 양파 매실액 참기름 
 생강"
차돌박이볶음,"
 스 발사믹식초 매실청 올리브유 
 스 마요네즈 연겨자 
 스 유자청 식초 
고기 설탕 후춧가루 저염 간장 배 양파 
해초 설탕 식초"
토마토오리볶음,"
 고기 후춧가루 맛술 다진마늘 
 토마토고추장 스 토마토 양파 풋고추 다진마늘 고추장 물엿"
토마토두루치기,"
파프리카 피망 파 마늘 토마토 
비트 식용유 돼지고기 
 간장 
생강 고추장 물엿"
검은콩피시볼조림,"피시볼 죽 검은콩 쪽파 동태포 감자전분 
밀가루 청양고추 달걀흰자 
 스 마늘 녹말가루 가다랑어장국 간장 
물 유자청 파"
대하조림,"
매실액 아보카도 토마토 
닭 닭다리 월계수잎 물"
묵은지가지말이,"
양파 강 마늘 올리브유 레몬 
레드와인 올리고당 
 
마늘 강 물"
함초타락죽,"찹쌀 우유 함초 크렌베리 
다진양파 파마산치즈"
황태두부무국,"황태 두부 함초 무 청고추 홍고추 
쪽파 흰후추 어간장 파뿌리"
삼합잡채,"주꾸미 바지락살 고기 닭가슴살 양파 
청고추 홍고추 당근 미나리 
"
고등어카레탕수,"냉동고등어 전분가루 식용유 우유 카레가루 
감자 애호박 방울토마토 양파 사과 꿀"
효도강정,"볶은현미 볶은율무 볶은수수 혼합견과 흑임자 
 스 올리고당 설탕 기름"
비트양파김치,"양파 
절임물 물 볶은 금 식초 비트 
국물 절임물 강청 식초 청양고추"
관자브로콜리스프,"관자 양파 브로콜리 시금치 크림 우유 
버터 파마산가루 다진마늘 흰후추 마늘칩"
곤약잡채,"
 스 맛간장 흑설탕 다진마늘 다진 파 흰후추 
 레몬즙"
미역 닭가슴살전,"닭가슴살 미역 두부 청양고추 파 당근 계란 
 스 저염간장 식초 레몬즙 고추냉이 통깨"
두가지묵샐러드,"두가지 묵 올방 묵 검정깨묵 각 당귀잎 
양파 노란 파프리카 알배추 
 스 저염간장 유자청 다진청고추 다진홍고추 다진 파"
블루베리양갱,흰앙금 블루베리 설탕 한천 물
장어찜,"장어 우유 후추 
곁들이 샐러드 우엉 인삼 미나리 팽이 양파 
샐러드 스 청고추 홍고추 맛간장"
두부까나페,"단단한 두부 슬라이스햄 올리브오일 로즈마리 볶은 금 
샐러드 마요네즈 당근 양파 오이 
 스 맛간장 양파 다진마늘 후추"
두부청국장죽,"청국장가루 두부 밥 표고버섯 당근 애호박 
 
흰후추 다진마늘 다진 파 흑임자"
망고샐러드,"증편 망고 양상추 치커리 방울토마토 양파 
 스 올리브오일 유자청 식초 볶은 금 후추 다진 파프리카 노랑 
다진 청피망 다진 홍피망 통깨"
토마토젤리,"토마토 판젤라틴 레몬 올리고당 
블루베리 설탕"
샌드스테이크,"닭가슴살 금 후춧가루 버터 
느타리버섯 시금치 굴 스 올리브오일 
 카레 스 베이컨 양파 카레가루 파 
생크림 우유 
 곁들임 어린잎채"
맥적구이,"돼지고기 강 금 후춧가루 
저염간장 정종 설탕 파 마늘 
양파 참기름 통깨 새송이버섯 
표고버섯 가지 홍피망 
 된장 스 된장 마요네즈 크림 
다진 땅콩"
채소어묵,"생선살 맛술 강 금 
밀가루 양파 당근 샐러리 마늘 
옥수수 어린이치즈 튀김기름"
주꾸미보리죽,"주꾸미 밀가루 보리 
미나리 당근 양파 참기름 
 저염치즈 우유 저염간장"
오렌지삼겹찜,"삼겹살 로즈마리 
고구마 크림 감자 튀김기름 
브로컬리 올리브오일 
 스 오렌지 설탕 정종 저염 금 
와사비"
소고기볼게살타르,"다진 고기 마늘 양파 파프리카 
후춧가루 빵가루 금 버터 
식용유 
 스 고구마 바나나 마요네즈 
매실액 게맛살 
 곁들임채 어린잎 브로컬리 미니새송이"
수삼떡갈비,"다진 고기 수삼 양파 파 
마늘 저염간장 후춧가루 정종 
찹쌀가루 새송이 추 통깨 
어린잎 
 스 저염간장 올리고당 설탕"
삼색딤섬,"밀가루 백년초가루 뽕잎가루 
치자가루 미나리 두부 오징어 
다진 고기 양파 부추 숙주 
 파 마늘 참기름 후춧가루 
통깨"
밥크로켓,"양파 파 당근 마늘 
식용유 메추리알 밥 금 
밀가루 녹말가루 달걀 빵가루 
튀김기름 
 스 칠리 스"
가지토마토구이,"가지 올리브오일 금 토마토 
모짜렐라치즈 
 스 토마토 스 토마토 
 곁들임 팽이버섯 후춧가루"
함박스테이크,"
 금 후춧가루 달걀 녹말가루 빵가루 
 스 마른고추 파 마늘 와인 저염간장 올리고당 설탕 토마토"
냉파스타,"스파게티 올리브오일 고기 
저염간장 설탕 마늘 깻잎 
양파 파프리카 설탕 
식초 저염간장"
과일겉절이,"사과 배 설탕 바나나 키위 
파인애플 마 
 식초 
저염간장 설탕"
버섯탕수,"새송이버섯 느타리버섯 표고버섯 
 금 녹말가루 달걀 튀김기름 
키위 
 스 저염간장 설탕 식초 
물녹말 녹말가루 물 오이 양파 
당근 목이버섯"
아보카도 연어샐러드,"연어 훈제연어 양파 아보카도 
파프리카 오렌지 사워크림 어린잎"
오렌지마리네이드 돼지고기,"돼지고기 시금치 양송이버섯 
파프리카 마늘 오렌지 레몬 
머스터드 꿀 크림 우유 
 금 후추 올리브오일"
인삼갈비탕,"고기 갈비 인삼 당면 표고버섯 
달걀 추 양파 파 마늘 
설탕 저염간장"
체리젤리를 곁들인 고구마무스,"체리 고구마 화이트 초콜릿 판젤라틴 
피스타치오 헤이즐넛 캐슈넛 호두 
아몬드 라즈베리 건포도 애플민트"
카레닭 룰라이드,"닭고기 카레가루 당근 양파 
샐러리 아스파라거스 토마토 감자 
생크림 금 후춧가루"
세 가지곡물콩라미수,"미숫가루 통조림콩 검은콩 바나나 
흑임자 달걀 우유 애플민트 
버터 설탕"
크림치즈 망고무스,"망고퓨레 라즈베리 피스타치오 
크림치즈 요거트 크림 판젤라틴 
레몬 애플민트 설탕"
토마토주스를곁들인컵토마토,"줄기토마토 토마토 오이 양파 
올리브오일 설탕"
해산물 훈제연어롤,"연어 훈제연어 주꾸미 라 완두콩 
샐러리 파프리카 오이 당근 
양파 고추장 식초 설탕 금"
인절미 무스와 수정과 아이스크림,"홍시 콩가루 계피 강 호두 
곶감 자몽 판젤라틴"
감닭떡갈비,"
마늘 찹쌀가루 매실청 금 
후춧가루 식용유"
겨자아욱쌈밥,"현미 두부 아욱 날치알 
단호박 새싹 된장 크림 
매실청 참기름"
다마고도후,"달걀 다시마 요리술 저염간장 
날치알 말린 매생이 무순"
단호박생채,"단호박 부추 양파 까나리액젓 
건새우 다시마 매실액 마늘 배 
고춧가루"
닭가슴살 스테이크,"닭고기 가슴살 토마토 가지 치즈 
오레가노 마늘 금 후춧가루 
올리브오일"
마늘드레싱을 곁들인 키위샐러드,"키위샐러드 키위 방울토마토 양상추 아몬드 땅콩 무순 
 마늘 사과식초 설탕 물 다진 마늘"
깻잎향을 입힌 관자 샐러드,돌나물 깻잎 관자 식용 꽃 올리브유 석류 원액 레시틴가루 후춧가루
건강그린 샐러드와 고소한 두유드레싱,"건강그린 샐러드 양상추 치커리 레드치커리 방울토마토 주황 파프리카 ⅹ 
 두유 두유 ⅔큰술 마요네즈 물엿 식초 물 설탕"
케일 오미자 샐러드,"케일 샐러드
보라로즈케일 흰로즈케일 케일 
오미자 
오미자물 요리당 식초"
꼬막 달래 된장 무침,"
 스 된장 고추장 사과즙 참기름 ⅓큰술 깨 다진 마늘"
베이컨 가지 말이,"
 스 고추장 와사비 고춧가루 배 양파 마늘 올리고당 사과식초"
청국장소스 연어 스테이크,"
 스 검정깨 청국장가루 마요네즈 
 장식 추"
두부곤약조림,"
조림장 감자전분 저염간장 물 다진 마늘 
유자청 고추기름"
아귀나가사키조림,"
아스파라거스 문어 꽃게 조 전복 
 라 새우 아귀 녹말물 
 마늘 파 통후추 양파 가다랑어포"
카레가자미조림,"
브로콜리 가자미 밀가루 달걀 버터 
치킨스톡 코코넛 밀크 크림 청양고추 
 강황가루"
타콤소스닭조림,"
새송이버섯 가지 토마토 단호박 
브로콜리 닭가슴살 닭 
 후춧가루 
 파슬리가루"
토마토콩조림,"
 파슬리가루"
관자해장국,"
노란 파프리카 두부 
 콩나물 다시마 관자 물 
토마토 스 토마토 붉은 파프리카 고춧가루 
발 사믹식초 
 마늘"
견과류들깨해장탕,"
애호박 양파 밤 호두 멸치다시마 
 들깻가루"
뿌리채소들깨수제비,"
새알심 찹쌀가루 물 금 
 국간장"
대구지리탕,"
콩나물 쑥갓 
 죽 쑥가루 밀가루 
 다시마 북어 무 물 
 생강"
양지해장국,"
느타리버섯 애호박 청양고추 
 파 방울토마토 콩나물 
 금"
토마토돼지고기해장국,"
돼지고기 사태 방울토마토 
 무 다시마 파 마른 표고버섯 양파 물 
 후춧가루"
효종갱,"
 쇠고기 양지 갈비 양파 마늘 물 
 저염간장"
해물토마토김치찌개,"
바지락 주꾸미 데친 미나리 쑥갓 
느타리버섯 팽이버섯 어슷 썬 풋고추 
김치주머니 새우 부추 불린 당면 
불린 무말랭이 녹말가루 달걀"
버섯 두유 소스 볶음,"버섯볶음
새송이버섯 올리브유 
두유 스
두유 ⅓큰술 크림 청양고추 후추 
곁들임
새싹채"
백일송이버섯 볶음,"백일송이버섯볶음
백일송이버섯 노랑 파프리카 × 빨강 파프리카 × 카놀라유"
땅콩소스 버섯가지나물,"
 땅콩 스 땅콩가루 다진마늘 참기름 저염간장"
유자향의 곤약 냉채,"곤약냉채 실곤약 오이 사과 당근 빨강 파프리카 ⅹ 
 유자 유자청 ⅔큰술 레몬즙 카놀라유 흰후추"
새우단배추된장국,"
두부 마른 새우 
 무 멸치 다시마 물 
 날콩가루"
검은콩보리된장찌개,"
붉은 고추 청양고추 파 
 바지락 멸치 다시마 
보리된장 보리 저염된장"
단호박배추된장국,"
 파 양파 물 
 된장"
된장냉국,"
 무 다시마 파 물 
 마늘 
다진 양파 다진 청양고추 저염된장 참기름"
들깨된장육개장,"
청양고추 얼갈이배추 
 무 돼지고기 사태 다시마 청주 
보리새우 물 
 된장"
삼색묵냉국,"
양파 오이 래디시 당근 아스파라거스 파프리카 
붉은 고추 풋고추 달걀 목이버섯 쑥갓 
 무 다시마 멸치 파 마늘 강 
쇠고기 물 
 검은깨"
샤브된장국,"
쪽파 송송 썬 청양고추 송송 썬 붉은 고추 
 닭가슴살 파 마늘 
 마늘"
완자된장국,"
두부 파 고추 표고버섯 당면 
숙주 브로콜리 다진 돼지고기 
 날콩가루"
산나물된장찌개,"
청양고추 파 순두부 
저염재래된장 콩 백태 표고버섯 저염된장 날콩가루 
 물 멸치 다시마 
 들깻가루"
토마토요구르트된장국,"
양파 파 청양고추 토마토 
 저염된장 
 멸치 다시마 물 
 들깻가루"
굴림만두된장국,"
굴림만두 새송이버섯 닭가슴살 양파 마늘 부추 
두부 간장 녹말가루 밀가루 
 돼지고기 앞다리살 무 양파 파 
저염된장 물"
해물순두부된장찌개,"
순두부 파 
 멸치 
 콩가루"
곤약함박스테이크,"
방울토마토 아스파라거스 올리브유 어린잎채 
스테이크 죽 곤약 두부 쇠고기 양파 당근 
셀러리 마늘 파 맛술 후춧가루 
찹쌀가루 빵가루 달걀 
유자청간장 스 유자청 저염간장 물"
청국장 두부 검은깨 냉스프,"냉스프
두부 플레인요거트 검은깨 ⅔작은술 
고명
청국장가루"
호박 고구마 스프,"호박고구마스프
고구마 단호박 × 우유 설탕 물"
시금치 리조또,밥 시금치 마 두유 금 버터 ½작은술 후춧가루
북어비빔밥,"
밥 북어 당근 애호박 달걀 고사리 표고버섯 우렁 들기름 장식
베이비채 식용꽃"
무 현미밥,"
 뒤포리 밴댕이 다시마 간장"
컵밥,"쌀밥 김 배추김치 달걀 
베이컨 시지 시금치 고춧가루 참기름 마늘"
두릅 샐러드,"
 레몬즙 레드와인 설탕"
구운 바나나,"
 장식 다진 호두"
과일무스 테린,"
 스 망고 우유"
가지볶음밥,"
두부 밥 세발나물 
 들기름"
닭고기볶음밥,"
양파 당근 
 맛술"
토마토라면,"
라면스프 라면 
 다시마 멸치 무 물"
토마토샐러드라면,"
방울토마토 파슬리가루 
 스 설탕 식초 레몬즙 저염간장 다진 마늘 
다진 토마토 다진 양파 올리브유"
검은깨라면크로켓,"
다진 쇠고기 다진 땅콩 어린잎채 방울토마토 스 통계피 강 조청 물엿 흑설탕 
발사믹 발사믹식초 올리브유"
김말이두부스테이크,"두부 김 허브 금 
 다진쇠고기 양파 표고버섯 새송이버섯 밀가루 흰후추 
곁들이채 고구마 단호박 양파 아스파라거스 
레드와인 스 레드와인 토마토 마늘 버터 올리브유 허브 금 
발사믹식초"
연어롤샐러드,"연어 단호박 방울토마토 시금치 영양부추 
 스 잣 더덕 마늘 식초 올리브오일 다진홍고추"
비타민이유식,멜론 브로콜리 감자 요거트 설탕
한입꼬치구이,"통삼겹 고구마 
 파 미니파프리카 청피망 양송이 건고추 
어간장 통후추 로즈마리 마늘기름 
 스 오렌지주스 레몬즙 올리고당 후추 다진마늘"
간장곤약볶음국수,"곤약국수 사과 레몬즙 
 
 스 다진양파 흑임자 플레인요거트 그라놀라 꿀"
닭가슴살리조또,"닭가슴살 찰보리 찹쌀 청피망 표고버섯 청양고추 양파 
다진마늘 홍피망 크림 우유 올리브오일 함초 금 
고명 건조토마토"
녹차귀리라떼,"브로콜리 귀리 닭 우유 
녹차가루 아몬드슬라이스 무염버터 흰후추 금 
우유 크림 다진양파"
계란숙샐러드,"달걀 쇠고기 게맛살 감자 천연조미료 물 
브로콜리 방울토마토 미니파프리카 영양부추 
 스 매실청 발사믹식초 올리브오일 후추 식초"
한식풍닭가슴살스테이크,"닭가슴살 미나리 쌀 청경채 
무조림 무 맛간장 고춧가루 다진마늘 물 
 스 된장 매실청 들기름 다진양파 검은깨 다진마늘"
강황고구마밥,"쌀 강황가루 고구마 닭 
"
된장시금치옹심이,"시금치 감자 애호박 당근 양파 
청고추 홍고추 밀가루 
국물 바지락 저염된장 볶은 금"
불고기 소스를 곁들인 두부구이,"두부구이 두부 전분 흑임자 식용유 후추 
"
매생이순두부탕,"
 다시마 멸치 보리된장"
겨자 오이고추소박이,"
 스 겨자분말 식초 설탕"
실치오이 초절임,매실액 실치 식초 ⅓큰술 오이
비트무절임,"
 초절이 스 금 식초 ⅓큰술 설탕"
감귤 김치,"
 김치국물 귤 고춧가루 다진 마늘 강즙"
두부달걀덮밥,"
밥 가다랑어포 
 
 녹말물"
봄나물밥,"
 두부"
가지연어구이,"
올리브유 마늘 
 스 사과 유자청 레몬즙"
갈릭칩동태구이,"
 저염된장"
고구마두부스테이크,"
양파 다진 견과류 찹쌀가루 
청국장 스 양송이버섯 다시마 청국장 
유 자청 녹말가루"
닭가슴살카나페,"
비트 닭가슴살 
후춧가루 새싹 바나나식초"
삼색꼬치구이,"
배사과 스 배 사과 레몬즙 꿀"
꽁치채소말이,"
밀가루 깻잎 무순 새싹 
오렌지 스 오렌지 레몬즙 설탕 고운 금"
차돌박이구이,"
차돌박이 어린잎채 
홍초물 설탕 홍초 물"
간장아귀찜,"
콩나물무침 콩나물 참기름 참깨 
간장 스 설탕 저염간장 청주 다시마물 
 마늘"
견과류통삼겹살찜,"
호두 새우젓 마늘 파프리카 부추 
돼지고기 간장 참기름 후춧가루 
 고춧가루 
 스 설탕 맛술 간장 닭 다진 마늘 
다진 양파 다진 강 다진 당근"
닭가슴살말이,"
마른 표고버섯 간장 참기름 견과류 
단촛물 설탕 식초 
겨자 스 설탕 발효겨자 식초 다진 잣 다진 땅콩 참깨"
두부말이찜,"
톳 깻잎 참기름 
 참깨 
레몬 스 설탕 레몬즙 간장 식초"
미나리명태찜,"
레몬 스 설탕 레몬 식초 저염간장"
불고기덮밥,"쌀밥 불고기 양파 청고추 홍고추 
팽이버섯 계란 쪽파 마늘기름 통깨 
"
바비큐리조또,"통삼겹 
조림장 맛간장 통후추 발사믹식초 흰후추 
청국장리조뜨 밥 청국장가루 야채 감자 
올리브오일 영양부추 
곁들이채 적양배추 사과 마늘 올리브오일"
간편콩국수,"메밀면 백일송이 마늘기름 통깨 볶은 금 
고명 애호박 양파 청고추 홍고추 
국물 두유 두부"
모듬해물찜,"전복 자숙새우 라살 알마늘 파 
청고추 홍고추 홍피망 양파 
"
크렌베리귀리밥,백미 크렌베리 귀리
블루베리냉스프,"검은콩두유 꿀 딸기 블루베리 
저지방우유 볶은현미 바나나 
고명 브로콜리 라이스페이퍼 건조체리"
토마토제철나물 샐러드,"영양부추 치커리 적양배추 알배추 방울토마토 양파 
두부크루통 두부 식용유 
 스 마늘 참깨 흑임자 꿀 참기름 맛간장 레몬즙 식초"
브로콜리스프,"닭 양송이버섯 브로콜리 크림 함초 금 
고명 바케트 
청양고추버터 청양고추 버터 방울토마토 설탕"
초계샐러드,"닭가슴살 달걀 오이 피망 파프리카 시금치 
 스 잣 식초 연겨자 설탕 참깨 흰후추 
고명 추"
토마토맑은장국,"
 닭 
 일식된장"
매생이찰범벅,"우유 매생이 찹쌀 단호박 
밤 녹차 금 멸치"
통삼겹맥적구이,"통삼겹 닭 
구이 스 저염된장 꿀 청주 참기름 다진마늘 다진 파 통깨 
샐러드 수삼 알배추 당근 
샐러드 스 식초 다진마늘 참기름 맛간장"
닭가슴살샌드스테이크,"닭가슴살 시금치 양파 콜리플라워 
브로콜리 양송이 방울토마토 
닭 다진마늘 버터 흰후추 올리브오일 
 스 버터 꿀 오렌지주스 레몬즙 흰후추"
치즈리조또,"단호박 우유 유기농 아기치즈 
멥쌀 표고버섯 참기름 볶은 금"
가지말이샐러드,"가지 감자 미니파프리카 양파 마늘튀김 
 스 홀그레인머스터드 올리브오일 다진마늘 설탕 
올리고당 레드와인 
곁들이채 어린채 
고명 파마산치즈"
유자등갈비구이,"등갈비 월계수잎 강 통후추 
식용유 마늘 m 적양배추 양파 
당근 
 스 유자청 사과 밤 크림 
설탕 금 식초"
실곤약팟타야,"실곤약 고기 숙주 
양파 청피망 홍고추 
 스 굴 스 다진 마늘 액젓"
닭고기라이스롤,"닭고기 우유 후춧가루 수수 
쌀 파프리카 당근 양파 
애호박 금 식용유 
 스 토마토 다진 마늘 케첩"
깐풍파스타,"밀가루 뽕잎가루 백년초가루 
호박가루 올리브오일 닭고기 강 
정종 금 후춧가루 녹말가루 
달걀 튀김기름 
 스 크림 스 설탕 파프리카 
청피망 깻잎"
닭강정,"닭고기 카레가루 녹말가루 
튀김기름 저염간장 레몬즙 설탕 
꿀 다진마늘 
 스 요거트 양파 당근 파프리카 
오이 케첩"
소고기꼬치구이,"고기 금 후춧가루 인삼 
올리브오일 파프리카 파인애플 
표고버섯 파 토마토 베이컨 
마늘 꼬치 
 스 유자청 저염간장 레몬 설탕"
황태볶음면,"황태 새우 오징어 굵은 금 
양파 마늘 파 표고버섯 양배추 
라면 숙주 올리브오일 마요네즈 
설탕 
 볶음간장 다시마 강즙 저염간장"
토마토덮밥,"쌀 가지 새우 
 스 양파 마늘 올리브오일 
토마토 스 케첩 토마토 설탕 
 곁들임채 어린잎"
표고크림파스타,"양송이 표고버섯 금 후춧가루 
스파게티 올리브오일 
 크림 스 밀가루 버터 우유 
생크림"
떡갈비통치미국수,"동치미 배 식초 다진 고기 
오이 당근 양파 후춧가루 정종 
설탕 저염간장 다진 마늘 다진 파 
매실액 참기름 통깨 국수 식용유 
 곁들임채 오이 당근 양파 후춧가루 
정종 설탕 저염간장"
백김치닭살샐러드,"닭고기 월계수잎 통후추 정종 
백김치 토마토 파프리카 당근 
브로컬리 양상추 
 스 발사믹식초 설탕 올리브오일 
 금"
단호박크림파스타,"단호박 파스타 금 
다진 마늘 버터 베이컨 양송이 
양파 우유 크림"
견과편수,"흑임자 밀가루 우유 닭가슴살 
후춧가루 다진 마늘 부추 양파 
다진 파 
 마 바나나 머스터드 캐슈넛 
잣 우유"
바지락실곤약파스타,"바지락 브로컬리 금 마늘 
파프리카 청양고추 올리브오일 
실곤약 후춧가루 
 곁들임채 어린싹"
황태리조또,"두부 금 홍합 버터 황태 
 크림 
달걀 참기름 통깨"
깻잎애호박찜,"애호박 깻잎 양파 피망 파프리카 
저염간장 매실액"
녹차와 대추밀전병,"고기 등심 오이 당근 양파 
표고버섯 추 계피가루 밀가루 
녹차가루 달걀 잣 저염간장"
단호박 된장매쉬와 해물굴림만두,"고기 우둔살 새우 흰살생선 
단호박 고구마 녹말 달걀 
된장 금"
닭순대,"닭고기 가슴살 당면 달걀 부추 
밀가루 저염간장 당근 참기름 
후춧가루 금"
도라지 유자청생채,"도라지 풋고추 홍고추 양파 
라임주스 흑임자 유자청 금"
돼지고기 숙주덮밥,"
 금 후춧가루 
 다시마 저염간장 물"
두부스테이크,"두부 양파 새송이버섯 달걀 케일 
당근 토마토 칵테일새우 레몬 
파인애플 마늘 올리브오일 금"
들깨곤약수제비,"곤약 표고버섯 새송이버섯 들깨가루 
사골 마늘 식초"
먹물소스를 곁들인 토마토피클,"마 우엉 토마토 배 새싹 
피클링스파이스 와인 먹물 설탕 
식초 금"
묵은지고등어와 새우말이꼬치,"고등어 새우 새송이버섯 당근 
미나리 깻잎 가지 오이 아몬드 
마늘 파프리카 어린잎 양상추 땅콩 
묵은지"
