RCP_NM,rcp_parts_dtls_cleaned
홍시 생밤 무침,홍시 바나나 밤 추 호두
고구마 경단,고구마 카스텔라 우유 버터 꿀 건포도 금
두부 깻잎 과자,두부 깻잎 밀가루박력분 베이킹파우더 설탕 달걀 검은깨 금
두부양갱,치자 백련초가루 두부 한천 설탕 물
멸치 누룽지과자,밥 잔멸치 통깨 설탕
복숭아 화채,오미자 천도복숭아 배 설탕 물 잣 설탕시럼 설탕과 물을 동량으로 하여 불에서 서서히 녹인다 기호에 맞게 만든다
사과 포도주스 조림,사과 포도주스 계피가루 아이스크림
홍시 쉐이크,냉동홍시 오미자 물 레몬즙 꿀 민트
,
누룽지 피자,잡곡밥흑미 검은콩 피자치즈 양파 청 피망 홍 피망 양송이 햄 캔옥수수 실파 피자 스 마늘다진것 양파다진것 쇠고기다진것 토마토케첩 설탕 간장 금 후춧가루
단호박 새우찜,단호박작은것 잔새우살다진것 두부 건표고버섯 청피망다진것 홍피망다진것 실파 밀가루 마늘 깨 금 참기름 금 흰후춧가루
두부 샌드위치,두부 키위 오렌지 토마토 바나나 사과 꿀 금 식용유
라이스페이퍼 새우롤,새우 홍피망 팽이버섯 숙주 무순 상추 차이브 쌀국수가는것 라이스페이퍼 새콤 달콤 스 양파 마늘 홍고추 청고추 물전분 물 식초 설탕 고추기름
"레몬, 파슬리 빵가루를 입힌 도미",도미 마늘다진것 빵가루 버터 레몬주스 레몬제스트 파슬리다진것 금 후추
롤피자,밀가루 력분 이스트 따뜻한물 금 올리브오일 청피망 홍피망 베이컨 양파 양송이 토마토 스 모짜렐라 치즈 바질 오레가노 파마산치즈
닭곰탕,"
 
 후추"
미나리버섯고기말이&산채소스,돈등심 새송이버섯 미나리 후추 찹쌀가루 참나물 취나물 올리브오일 땅콩 파마산치즈 마늘
오이파프리카새콤무침,오이 파프리카 빨강 노랑 각 식초 설탕
양상추샐러드 & 과일드레싱,"
 스 사과 파인애플 레몬즙"
시금치들깨무침,시금치 파 마늘 들깨가루 통깨 들기름 금 데치는용
채소롤초밥,가지 오이 밥 금 다시마가루 매실식초 참기름 참깨
,
배추 달걀볶음,배추 달걀 돼지고기 파 강다진것 간장 목이버섯 닭 물전분 식용유 금
사과와 양파를 곁들인 돼지등심 요리,돼지등심 오레가노마른것 바질마른것 올리브오일 양파 사과 금 통후추부순것
새우 속을 채운 리치와 감자튀김,새우 달걀흰자 실파 물밤다진것 금 후추 리치캔 감자 전분 튀김기름 스 올ㄹ브오일 다진 양파 다진생강 다진마늘 고추기름 식초 설탕 금 후추 전분 다진 레몬껍질
,
서양식 씨리얼(뮤즐리),오트밀 꿀 플레인 요거트 아몬드 사과 건포도 우유 계피가루 바나나 키위
수퍼 브리또,양파 할라피뇨 쇠고기갈은것 토마토콩카세 양상추 올리브오일 또띠아 아보카도 사워크림 금 후춧가루 강낭콩 퓨레 강낭콩 베이컨 마늘 양파 바질마른것 살사 배 오렌지 레몬주스 파프리카 가루
아보카도 달걀 샌드위치,달걀 마요네즈 디존 머스타드 레몬주스 식빵 아보카도 워터크레스 금 후추
알록달록 시금치 당근 수제비,시금치 당근 밀가루 물 감자 애호박 실파 멸치 다진 마늘 간장 금
인도식만두구이(사모사),양파다진것 마늘다진것 강다진것 청고추다진것 새우다진것 버터 레몬주수 선 카레가루 토마토페이스트 달걀물 춘권피 올리브오일
중국식 바비큐 폭립,돼지갈비 바비큐용 스 양파작게자른것 마늘다진것 식용유 레드와인식초 황설탕 꿀 데미글라스 토마토케첩 머스타드 우스터 스 케이엔페퍼 금 후추
"제주도 빙떡, 귤간장소스",메밀가루 무 후추 다시마 다진 마늘 다진 파 저염간장 통깨 귤 즙 참기름
퓨전떡갈비,고기 돼지고기 양파 배 마늘 강 저염간장 찹쌀가루 참기름 참깨
마늘칩 감자샐러드,감자 마늘 양파 마요네즈 플레인요거트 머스터드 설탕 파슬리
시래기닭조림,"
 물엿"
두부튀김&무소스,두부 계란 깻잎 옥수수전분 식용유 혼다랑어가쓰오부시 무 레몬쥬스 양조식초 저염간장 미향 설탕
오징어튀김&딸기쨈,오징어 밀가루 물 계란 후추 식용유 딸기쨈
감귤콩샐러드,감귤 완두콩 수수 율무 병아리콩 유자청 치커리 올리브오일
바질향이 향긋한 고구마 찰 바케트,"
"
두유 크림 현미리소토,손질된 고등어 양파 마늘 양송이버섯 청양고추 깻잎 불린 현미 검은콩 두유 ㎖ 달걀노른자 다시마 간장 레몬즙
당근새우 카나페,칵테일새우 사과 ½ 양파 ⅓ 당근 ¼ 바게트 다진 파슬리 블루베리 애플민트잎 당근 ⅓ 양파 ⅓ 레몬 ⅓ 후춧가루 레몬즙 식초 올리브유
아보카도 수란샐러드,상추 레몬 ½ 아보카도 토마토 달걀 파프리카 빨강 노랑 각 ½ 금 식초 금 후춧가루 바질가루 오레가노가루 올리브유 레몬즙
참깨 오렌지 쇠고기,쇠고기사태 전분 간장 오렌지주스 굴 스 꿀 참깨 식용유 강 오렌지 파인애플
치킨 버거 스테이크,닭가슴살 빵가루 차이브 바질 파슬리 금 후추 양송이 속양파다진것 버터 양송이 빵가루 크림
토마토소스 달걀볶음,달걀 파 토마토 스 설탕 금 식물성기름 참기름
낫토 시래기 라이스전,밥 양파다진것 당근다진것 낫토 시래기불린것 카레가루 파다진것 밀가루 달걀 식용유 금 후춧가루
나스와 샐러드,달걀 완두콩 오이 토마토 레드어니언 로메인 홍고추 블랙올리브 바질 캔참치 strong 드래싱 strong 올리브오일 레드와인식초 디존 머스타드 마늘 설탕
다시마전,다시마 영양부추 청고추다진것 홍고추다진것 새우살다진것 밀가루 물 금 멸치액적 스 멸치액젓 물 설탕 깨 금 고춧가루 실파
모듬옥수수,옥수수 잣 청피망 당근 닭고기 식용유 물전분 금
버섯 들깨탕,느타리버섯 표고버섯 팽이버섯 새송이벗서 우엉 조랭이떡 들깨 물 들기름 금
산마드래싱과 실곤약 샐러드,그린비타민 치커리 배 포도주스 훈제오리가슴살 실곤약 산마드래싱 산마 우유 레몬주스 오렌지주스 호두 금
산호두부,두부 돼지고기다진것 당근다진것 고추기름 완두콩 파 강 물전분 금
섭산삼,더덕 젖은 찹쌀가루 가루녹차 백년초 가루 설탕 꿀 금 튀김기름
시금치 돼지고기 볶음,돼지고기살코기 물전분 금 시금치 부추 간장 파 강 식용유
발사믹과 로즈마리로 향을 낸 오븐구이 야채,단호박 당근 비트 고구마 꿀 발사믹식초 로즈마리 금 후추
종이에 싸서 구운 도미(파필로테),도미살 금 후추 샐러리 채친것 당근 채친것 파채친것 양파채친것 피망채친것 브러컬리 레몬제스트 팽이버섯 버터 유산지 허브버터 버터 파마산치즈 통후추 오레가노 마늘 양파
무염 겉절이,알배추 적양파 파 풋고추 마늘 무청 고춧가루 매실액 식초 사과
닭가슴살호두크로켓,닭가슴살 두부 양파 파 호두 땅콩 마늘 강 후추 설탕 식초 계란 쌀가루 빵가루 순무 두유 홀그레인 땅콩버터 레몬 파슬리
누룽지상추샐러드&유자드레싱,누룽지 로메인상추 파프리카 빨간색 노란색 유자청 식용유 올리브유 레몬즙 식초 후추
견과류 미숫가루 빵,"
 아몬드우유 아몬드 우유 
 토핑 버터 아몬드 슬라이스 미숫가루"
돼지 함초 덮밥,양파 쪽파 레몬 무순 멸치 건함초 다시마 밥 꽈리고추 돼지고기 등심 수란 김가루 고추냉이 마늘 강 건고추 팔각 참기름 후춧가루 ⅓Ts 식용유
닭가슴살 채소쌈,양상추 양파 ¼ 토마토 간 크기 청양고추 할라피뇨 피클 닭가슴살 단호박 라이스페이퍼 플레인 요거트 마늘 파 ½ 후춧가루 카레가루
호두 사과 샐러드,사과 샐러리 마요네즈 레몬주스 식초 호두 건포도 금
고구마란,고구마 꿀 계피가루 추 호박씨
과일 파이,오렌지 사과 설탕 물전분 버터 식빵
수삼당근정과,당근 수삼 꿀 물 계피가루
식혜 팥빙수,팥 찹쌀가루 쑥가루 물 식혜 금
야채칩,연근 고구마 감자 단호박 당근 금
잡곡강정,검은콩튀밥 쌀튀밥 메닐튀밥 물엿 설탕 물
잣 호두 강정,잣 호두 추 통깨 시럽 물엿 설탕
현미 크레이프,현미가루 밀가루 우유 참기름 금 팥 팥 설탕 당근조림 당근 설탕 물
,
고기완두조림,돼지고기살코기 완두콩 물 설탕 금 전분 식용유
니고랭,달걀물 식용유 홍고추 마늘다진것 닭가슴살 새우 양파 청경채 스파게티면 방울토마토 버터 야 스 간장 발사믹식초 굴 스 꿀
,
미니 그라탕,사과 참마 레몬주스 건포도 슬라이스아몬드 설탕 스 참마 두유 물엿 밀가루 올리브오일 금
밀라노 스타일 포크 커틀렛,돼지등심 밀가루 달걀 빵가루 바질 건타임 버터 식용유 레몬 파마산치즈 금 후추
바지락 볶음면,바지락살 칵테일새우 청고추 홍고추 파 마늘다진것 강다진것 칼국수면 식용유 물전분 간장 스 멸치 간장 설탕 양파즙 다진 파 다진 마늘 참기름 깨 금 금 후춧가루
삼색 꽃 화전,찹쌀가루 시금치 치자 식용꽃 타임 설탕 꿀
알록달록연근튀김,깐연근 비트 시금치 카레가루 건새우 전분 튀김가루 금 식물성기름
잎채소튀김,깻잎 상추 배추 계란 튀김가루 콩기름 얼음
포항초사과샐러드,포항초 사과 당근 양파 파프리카 레몬즙 또는 식초 저염간장 설탕
생선 파피요트,양파 ⅓ 파프리카 ⅓ 레몬 방울토마토 손질된 흰살생선 ½마리 하 바지락 월계수잎 타임 금 후춧가루 화이트와인 올리브유
시금치 후무스,파 시금치 불린 병아리콩 ½컵 우유 올리브유 천일염 라임즙 백후춧가루 넛맥가루
매생이조랭이떡국,조랭이떡 매생이 굴 파 다진 마늘 국멸치 국간장 금 물
문어핫바,문어 톳 감자 당근 양파 우리밀가루 다진 마늘 후춧가루 토마토케첩 허니머스터드 스 현미유
매실장아찌와 과매기구이,과메기 매실장아찌 양파 다진 강 마늘 고추장 양파 다진 마늘 다진 파 간장 매실액 고춧가루 물 통깨 후춧가루
자색고구마호떡,찹쌀 자색고구마 금 현미유 물 황설탕 검정깨 땅콩 호두 찹쌀가루 계피가루
김치밥그라탕,밥 배추김치 줄기부분 양파 표고버섯 방울토마토 올리브유 간장 피자치즈 모짜렐라 다진 실파
누룽지굴죽,굴 누룽지 다시마국물 건다시마 물 부추 간장 참기름 파래김
콩비지완자탕,완자 콩비지 다진 돼지고기 기름기 없는 부위 깍두기 새우젓 계란 감자전분 후추 다진 파 다진 마늘 국물 멸치다시마국물 물 건멸치 건다시마 청경채 어슷 썬 파 다진 마늘 국간장
,
,
,
,
잔멸치땅콩볶음,땅콩 잔멸치 맛술 올리브유 건홍고추 참기름 콩기름 다진 마늘 굴 스 두 장 물엿 통깨
밥 샌드위치,맛살 마요네즈 오이 밥 치즈슬라이스 검은깨 금
버섯을 넣은 가지 라자냐,돼지고기다진것 느타리벗서 표고버섯 새송이버섯 가지 밀가루 버터 우유 파마산치즈 모짜렐라 치즈 토마토 스 바질 오레가노 빵가루
생선찜 채소말이,흰살 선 죽순 청피망 홍피망 건표고버섯 전분 치즈슬라이스 참기름 금 흰후춧가루 스 잣 물 설탕 레몬즙 간장 금
쇠고기말이 쌈밥,쇠고기살코기 당근 오이피클 양파 깻잎 밥 전분 식용유 밥 깨 금 참기름 금 쇠고기 간장 청주 참기름 후춧가루
스테이크 샐러드,쇠고기등심 로메인 워터크레스 래디쉬 방울토마토 레드어니언 발사믹식초 올리브오일 금 통후추
씨앗죽,쌀 참깨 통아몬드 땅콩 호박씨 물 금
오븐에 구운 또띠아 칩과 아보카도 딥,또띠아 양파다진것 할라피뇨다진것 마늘다진것 아보카도 라임주스 토마토 금
,
치킨 쇠고기 땅콩소스 꼬치,닭가슴살 쇠고기 등심 간장 카레가루 땅콩버터 참기름 올리브오일 설탕 강다진것
커리향이 들어간 치킨샐러드 샌드위치,닭가슴살 올리브오일 마요네즈 식빵 아몬드 건포도 카레가루 레몬주스 바질 금 후추
클럽 샌드위치,식빵 마요네즈 삶은달걀 양상추 닭가슴살 토마토 치즈슬라이스 슬라이스햄 베이컨 금 후추
토마토 야채 오븐구이,감자 고구마 오릴브오일 홍피망 당근 후추 금 레드어니언 토마토 돼지호박 파마산치즈 빵가루 바질
,
해초탕수,불린 미역 혹은 물미역 파래 생것 김 양파 유자청 물 다진 파 다진 마늘 감자전분 계란 콩기름
호두떡볶이,호두 올리브유 떡볶이 떡 올리고당 간장 검정깨 볶은 것
,
,
,
가자미쑥국,가자미 모시조 쑥 물 된장 파 들깨가루
,
,
,
,
취나물들깨무침,참취 간장 금 다진 파 다진 마늘 들기름 거피들깨가루
,
,
절편꽃말이떡,절편 거피녹두 물 다진 호두 진달래꽃 설탕 금
가지볶음,가지 강 고추장 물엿 통깨 들기름
,
,
다시마칩,다시마 꿀 참께 오트밀
브로콜리 쇠고기 볶음,브로콜리 쇠고기안심 물전분 당근 마늘다진것 간장 강 설탕 식물성기름 금
새우살을 채운 두부 스프(미네스트로네),새우 두부 당근 돼지호박 참기름 강 양파 마늘다진것 닭 굴 스 간장 금 새우 마리네이션 달걀흰자 전분 금
시저 샐러드,상추 로메인 마늘다진것 앤쵸비 금 후추 달걀노른자 레몬주스 올리브오일 파마산 치즈 도미살 밀가루 달걀물 빵가루 크루퉁 파슬리다진것 오레가노다진것 식빵 금 후추
,
차가운 당근 수프,당근 버터 양파다진것 강다진것 마늘다진것 야채 오렌지주스 크림 당근주스 금
태국식 불고기 샐러드,쇠고기 애호박 토마토 가지 양파 새송이버섯 그린 샐러드 불고기 드래싱 풋고추 홍고추 마늘 고춧가루 레몬주스 타바스코 카레오일 올리브오일 로즈마리 민트 카레가루
팽이버섯 야채볶음,팽이버섯 청경채 참기름 식용유 물전분 금
딸기연두부쉐이크,딸기 연두부 바나나 올리고당
,
,식초
깻잎장아찌롤,쌀 깻잎장아찌 김 새싹 밥 참기름 참깨 허브타르타르 양파 피클 삶은달걀 마요네즈 머스터드 스 설탕 물 머스터드조스
롤 삼계탕,"
 닭 파 마늘"
,
갯벌의 여왕 모시조개의 달콤한 유혹,바지락 모시조 양파 마늘 마른 홍고추 올리브유 호이트와인 쳥양고추 저염치즈 후추 바질
고구마 타락죽,고구마 양송이버섯 양파 느타리버섯 현미 불린것 저지방우유 식용유 물
두부 채소 볶음밥,밥 두부 표고버섯 마른것 당근 감자 청피망 홍피망 오이 애호박 금 스 간장 청고추 홍고추 통깨 참기름 다시마물
건강 마늘 꿀환,마늘 잣 꿀 검은깨 카스텔라가루
과일 샐러드 또띠아,자몽 오렌지 키위 사과 플레인 요구르트 꿀 또띠아
수박 화채,찹쌀가루 물 수박 팥 설탕
우유 생강차,우유 강 꿀 깨 금 계피가루
레몬 들깨 소스를 품은 떡꼬치,"떡꼬치 쌀떡 ghen 잣 식용유 꼬치용 꼬치 
 레몬 들깨 스 들깨가루 두유 꿀 물 참기름 레몬즙 검은깨"
누룽지 요거트 파르페,"누룽지 밥 
 요거트파르페 오렌지 사과 요거트 블루베리"
자색고구마 호떡,죽 찹쌀 자색고구마 금 현미휴 물 황설탕 호떡 검정깨 땅콩 호두 각 찹쌀가루 계피가루
청국장지짐 케일쌈밥,"돼지고기 청국장 밥 
케일 멸치 무 양파 
사과"
마늘 불고기 덮밥,"고기 불고기용 쌀 
새송이버섯 당근 양파 
 파 마늘 배 진간장 
후춧가루"
잡곡강정밥,"잡곡 찹쌀 호두 
은행 밤 추고 꿀 
간장 금"
함박스테이크 볼 밥,"고기 돼지고기 가래떡 
양파 새송이버섯 
파프리카 사과 배 
고추장 파 마늘 간장 
청주 후춧가루 참기름"
곤드레 밥버거,"쌀 찹쌀 흑미 곤드레나물 
파프리카 양상추 감자 
양파 깻잎 바나나 김 
호두 사과 밀가루 빵가루 
마요네즈 된장 식초 간장 
참기름 들기름 금"
대추닭살리조또,"닭고기 가슴살 쌀 양파 
표고버섯 추 당근 
피망 치즈 우유 마늘 
 금 후춧가루"
먹골배 카레주먹밥,"쌀 카레가루 묵은지 
양파 애호박 가지 
참치 마요네즈"
신호등 통통이(어린이 곤약삼색주먹밥),"고기 곤약미 쌀 
시금치 당근 멸치 
 파 달걀 간장 
참기름 금 후춧가루 
올리고당"
양배추롤&참치두부쌈장,"밥 양배추 참치 캔 
두부 양파 파 마늘 
된장 고추장 매실청 
참기름 깨 물"
라비올리 크림소스,양파 마늘 새우살 게살 식용유 크림 파마산치즈 버터 라비올리 죽 력분 강력분 달걀 물 시금치 비트
라비올리 토마토소스,력분 강력분 달걀 물 양파 당근 토마토 토마토 스 셀러리 바질 오레가노 로즈마리 물필요량 설탕 마늘다진것 리코타치즈 우유 레몬즙 차이브 파마산치즈
미역 조랭이 떡국,미역마른것 우엉 조랭이 떡 들깨 들기름 마늘 물 국간장
버섯 리조또,쌀 양송이버섯 마늘다진것 닭 파슬리다진것 타임다진것 올리브오일 파마산치즈 버터 금 후추
서리태 잣국수,잣 서리태 오이 밀가루 금 체리토마토 흑임자 물
,
,
팥죽,팥 찹쌀가루 찹쌀 물 설탕기호에따라
호박만두,애호박 표고버섯 청고추 금 시금치 참기름 통깨 식용유 후춧가루 밀가루 물 스 초간장 간장 식초 물
감자 팬케익,감자 양파다진것 체리 사과 청포도 식초 물 달걀흰자 밀가루 베이킹 파우더 마늘가루 후춧가루 식용유 스 과일조림 설탕 포도주스 레몬주수 계피가루
단호박 두부 포타주,단호박 두부작은것 두유 다시마국물 금 후춧가루
쇠고기와 검은콩 요리,쇠고기갈은것 서리태 셀러리 양파 청피망 토마토 베이컨 현미 닭 물 마늘다진것 월계수잎마른것 타임마른것 후춧가루 카엔페퍼
,
양송이버섯 달걀 크레페,양송이버섯 달걀 에벤탈치즈 메밀가루 달걀 밀가루 우유 설탕 양파 파슬리다진것 감자 로즈마리다진것 마늘다진것 식용유
파인애플떡갈비,"고기 갈빗살 파인애플 
양파 표고버섯 전분 
파 마늘 진간장 설탕 
참기름 후춧가루"
건강가지말이+참깨마요소스,"가지 단호박 
삼색파프리카 당근 사과 
배 무순 청양고추 
마요네즈 참깨 꿀"
순창 고추장 두부강정,"고기 불고기용 두부 
새송이버섯 당근 양파 
마늘 강가루 고추장 
튀김가루 전분 맥주 
 금 간장 꿀 케첩 
올리고당"
곤약 백김치 말이,"오징어 곤약 백김치 
삼색파프리카 부추 청주 
통후추 월계수잎"
묵은지비프롤,"고기 불고기용 묵은지 
팽이버섯 아스파라거스 
삼색파프리카 참나물 
달걀 전분 올리브오일 
매실액 레몬즙 금 
후춧가루"
바나나를 감싼 일본식 달걀말이,"달걀 바나나 전분 
 금"
그린커리,"닭고기 가슴살 그린커리
페이스트 코코넛밀크 
당근 가지 양송이버섯 
레몬그라스 마늘"
현미 고구마 아란치니,"고구마 현미밥 
새송이버섯 당근 양파 
달걀 파슬리 빵가루 
밀가루 금 후춧가루 
식용유"
유자 치킨 꿔바로우,"닭고기 가슴살 강 
녹말 찹쌀가루 유자청 
전분 꿀 금 
후춧가루 식초 식용유 
물"
펌킨크로켓,"단호박 양파 
당근 참나물 달걀 
모짜렐라치즈 빵가루 
식용유 금 후춧가루"
이태리튀밥,"쌀 방울토마토 
바질 옥수수 달걀 
빵가루 파마산치즈가루 
생모짜렐라치즈 버터 
올리브오일 금"
현미 입은 미트볼,"고기 돼지고기 추 
배 현미튀밥 밀가루 
양파 마늘 쪽파 
생강 간장 금 
후춧가루 참기름 참깨"
시금치 볶음 쌀국수,"새우 쌀국수 시금치 
달걀 메추리알 마늘 
굴 스 식초 땅콩 
전분 청주 고추기름 
 금 후춧가루 
올리브오일"
새우채소꼬치구이,"새우 단호박 양배추 
방울토마토 파 후추"
영유아를 위한 고소한 닭꼬치,"닭고기 가슴살 우유 
아몬드슬라이스 참깨 
흑임자 금 후춧가루"
얌얌 맛있게타,"바게트 새송이버섯 
표고버섯 방울토마토 
바질 모짜렐라치즈 
마늘 올리브오일 금"
오! 푸룻한 뿌리채소,"우엉 연근 오렌지 
요거트 크랜베리 땅콩 
호두 레디쉬 식초 
머스터드 얼음"
채소 팬케익,당근갈은것 돼지호박갈은것 셀러리다진것 양파다진것 력분 후춧가루 저나트륨 베이킹 파우더 머스터드 파우더 식용유 달걀 저지방우유 메이플시럽
누룽지과자,밥 달걀흰자 밀가루 식용유 땅콩 건포도 호두 딸기잼
단호박 경단,단호박 찹쌀가루 카스텔라 금 건포도 호박씨 잣 물
모듬탕수,표고버섯마른것 연근 주황파프리카 노랑파프리카 브로컬리 식용유 스 탕수 스 감자녹말가루 레드와인 간장 식초 설탕
,
가지볶음,가지 강 고추장 물엿 통깨 들기름
감자냉채,감자 래디쉬 오이 스 단촛물 물 식초 설탕 파인애플주스 금 겨자초장 겨자가루 물미지근한것 설탕 식초 금 파인애플주스
,
나박김치,배추잎 무 당근 실파 수삼 마늘 강 고춧가루 미나리 홍고추 물 금
,
단호박 두부찜,단호박 두부 마늘 풋고추 스 저나트륨조림 스 간장 청주 다시물 맛술 설탕 금 식용유
단호박전,단호박 밀가루 금 식용유 물
도라지 검은깨 튀김,도라지 검은깨 찹쌀가루 튀김가루 식용유 스 저나트륨 간장 스 간장 식초 설탕 물 고추냉이
발사믹으로 양념한 채소요리,브로컬리 컬리플라워 돼지호박 당근 양파 가지 스 저나트륨 발사믹 스 올리브오일 포도식초 오레가노마른것 타임마른것 로즈마리마다진것 저나트륨 금
버섯 굴소스 볶음,표고버섯 양송이버섯 느타리버섯 팽이버섯 새송이버섯 식용유 스 굴 스 굴 스 간장 마늘다진것 물 참기름 부추 또는 실파
,
상추 겉절이,상추 간장 물 매실농축액 고춧가루 통깨 식초 영양부추 양파 홍고추
연근고구마샌드위치,"연근 고구마 견과류 
튀김가루 백년초가루 
달걀 식용유 금 
식초"
파프리카깍두기(어린이용),"무 파프리카 사과 
현미 실파 멸치 마늘 
멸치액젓 올리고당 천일염"
과일 김치,"사과 배 복숭아 
토마토 치커리 고춧가루 
마늘 깨 참기름 금"
오이 짱아지 무침,"오이 고춧가루 매실액 
양파 파 마늘 참기름"
비트 배추피클,"비트 배추 무 사과 
당근 식초 설탕 
월계수잎 통후추 물"
오징어와사비마요무침,"진미채 유자청 마요네즈 
와사비 레몬즙 깨"
삼색 버터롤,"홍시 호두 곶감 
 추 블루베리 크랜베리 
강력분 꿀 버터 
달걀 이스트 금 
탈지분유 제빵 량제 물"
고구마빵&과일잼,"고구마 제철과일 달걀 
우유 크랜베리 아몬드 
호두 올리고당 레몬즙 
올리브오일"
감말랭이 찰빵,"감말랭이 쌀가루 보릿가루 
밀가루 고구마 냉동딸기 
흑임자 금 식용유"
바나나 속 달걀빵,"달걀 바나나 밀가루 
우유 베이킹파우더 
버터 금 물"
두부빼빼로,"두부 포도 호두 
검은깨 식빵 밀가루 
계피가루 금 꿀 
식용유 물"
땅콩호박 타르트,"땅콩호박 아몬드가루 
버터 박력분 요거트 
달걀 사과 전분 
 금 호두"
고구마 바나나 무스,"고구마 바나나 달걀 
크림치즈 우유 크림 
딸기잼 젤라틴 바닐라빈 
올리고당"
단호박치즈스틱,"단호박 새우살 
삼색파프리카 양파 
옥수수 모짜렐라치즈 
춘권피 크림 식용유"
크랜베리 샤브레 쿠키,"크랜베리 슈가파우더 
박력분 아몬드가루 
백년초가루 우유 버터"
생과일 타르트,"박력분 버터 달걀 
아몬드가루 꿀 크림 
블랙초콜릿 키위 
블루베리 체리"
당 떨어진 마들렌,"추고 추 당근퓨레 
녹차가루 팥앙금 박력분 
꿀 버터 달걀 
베이킹파우더 금"
삼색 머핀,"당근 시금치 사과 
호두 크랜베리 박력분 
꿀 버터 달걀 금 
베이킹 다 베이킹파우더 
물"
수삼 냉채,수삼 배 오이 샐러리 스 저나트륨내채 스 추 유자청 금 식초 꿀
아시아식 채소 두부 볶음,해선장 간장 녹말 참기름 식용유 마늘다진것 두부 그린빈 청경채 영콘 밤 땅콩다진것 물
양배추 깻잎 피클,양배추 깻잎 설탕 청고추 홍고추 스 피클 스 물 식초 금 통후추
,
